catch_id,trap_id,creature_id,quantity,date,crew_id,sector,condition,destination,price_per_unit,notes
CAT0001,TRP0001,CR001,2,1855-03-15,CRW001,Western Marsh,live,Capital Archives,45,"Leatherback burrowers; good specimens"
CAT0002,TRP0003,CR003,3,1855-03-14,CRW001,Western Marsh,live,Capital Display,28,"Granite wrens; wings intact"
CAT0003,TRP0004,CR001,1,1855-03-18,CRW001,Western Marsh,live,Capital Archives,42,"Single specimen; slightly injured"
CAT0004,TRP0006,CR001,3,1855-04-05,CRW002,Western Marsh,live,Miasto Market,38,"Post-disaster crew; steady work"
CAT0005,TRP0007,CR003,2,1855-04-06,CRW002,Western Marsh,live,Capital Display,30,"Gull's first successful expedition"
CAT0006,TRP0008,CR008,1,1855-01-22,CRW003,Miasto Sector,dead,Capital Archives,180,"Coil tube serpent; carcass for study"
CAT0007,TRP0009,CR011,12,1855-01-20,CRW003,Miasto Sector,live,Various,8,"Cave bats; bulk capture"
CAT0008,TRP0010,CR002,1,1855-02-08,CRW003,Miasto Sector,live,Senate Zoological,320,"Stone spine lizard; dangerous transport"
CAT0009,TRP0011,CR007,5,1855-02-17,CRW005,Eastern Ridge,live,Capital Market,55,"Metal-beaked finches; archivist tools"
CAT0010,TRP0012,CR007,4,1855-02-15,CRW005,Eastern Ridge,live,Senator Huilof,65,"Premium specimens; banquet display"
CAT0011,TRP0013,CR025,1,1855-01-25,CRW006,Central Quarry,live,Capital Archives,220,"Deep borer; tunnel mapper interest"
CAT0012,TRP0015,CR009,1,1855-03-08,CRW008,Grimslew Shore,dead,Capital Archives,580,"Wharver carcass; extremely valuable"
CAT0013,TRP0017,CR023,8,1855-03-16,CRW001,Western Marsh,live,None,0,"Marsh crawlers; released as worthless"
CAT0014,TRP0018,CR002,1,1855-03-19,CRW001,Western Marsh,live,Capital Archives,290,"Juvenile stone spine; safer to handle"
CAT0015,TRP0020,CR006,2,1855-02-18,CRW005,Eastern Ridge,live,Senator Banquet,145,"Yeller frogs; unintended catch; high value"
CAT0016,TRP0021,CR001,4,1855-02-22,CRW003,Miasto Sector,live,Capital Archives,40,"Underground burrowers; standard catch"
CAT0017,TRP0022,CR025,1,1855-02-18,CRW006,Central Quarry,dead,Capital Archives,195,"Deep borer; died during extraction"
CAT0018,TRP0023,CR007,3,1855-03-12,CRW011,Central Quarry,live,Research,60,"Scientific collection; tagged"
CAT0019,TRP0024,CR002,1,1855-03-10,CRW011,Central Quarry,live,Research,300,"Specimen preservation priority"
CAT0020,TRP0026,CR001,5,1855-04-12,CRW002,Western Marsh,live,Capital Archives,36,"Bulk capture; double-length trap effective"
CAT0021,TRP0029,CR003,4,1855-02-12,CRW010,Northern Edge,live,North Station,22,"Boundary monitoring; local use"
CAT0022,TRP0030,CR019,5,1855-02-25,CRW009,Variable,live,Senator Huilof,420,"Yeller bird flock; complete set of five"
CAT0023,TRP0031,CR009,1,1855-03-18,CRW008,Grimslew Shore,live,Capital Display,890,"Live wharver; unprecedented"
CAT0024,TRP0032,CR001,2,1855-03-08,CRW003,Miasto Sector,live,Capital Archives,44,"New shaft specimens"
CAT0025,TRP0034,CR024,15,1855-03-17,CRW003,Miasto Sector,live,Capital Cosmetics,12,"Quarry moths; wing dust valuable"
CAT0026,TRP0035,CR005,1,1855-03-20,CRW006,Central Quarry,dead,Capital Archives,950,"Maw beast carcass; record price"
CAT0027,TRP0006,CR003,1,1855-04-05,CRW002,Western Marsh,live,Miasto Market,25,"Incidental granite wren"
CAT0028,TRP0007,CR011,4,1855-04-06,CRW002,Western Marsh,live,Miasto Market,6,"Cave bats; secondary catch"
CAT0029,TRP0008,CR012,1,1855-01-22,CRW003,Miasto Sector,live,Capital Archives,125,"Rock-finned eel; bonus catch"
CAT0030,TRP0009,CR024,22,1855-01-20,CRW003,Miasto Sector,live,Capital Cosmetics,10,"Quarry moths in net"
CAT0031,TRP0010,CR008,1,1855-02-08,CRW003,Miasto Sector,dead,Capital Archives,160,"Coil serpent; died in trap"
CAT0032,TRP0011,CR003,2,1855-02-17,CRW005,Eastern Ridge,live,Capital Display,32,"Incidental wrens"
CAT0033,TRP0013,CR011,6,1855-01-25,CRW006,Central Quarry,live,Miasto Market,7,"Cave bats disturbed by snare"
CAT0034,TRP0015,CR010,25,1855-03-08,CRW008,Grimslew Shore,live,None,0,"Gritsmuck crawlers; released"
CAT0035,TRP0021,CR024,8,1855-02-22,CRW003,Miasto Sector,live,Capital Cosmetics,11,"Moths in tunnel"
CAT0036,TRP0022,CR011,3,1855-02-18,CRW006,Central Quarry,dead,None,0,"Bats killed by snare"
CAT0037,TRP0023,CR024,5,1855-03-12,CRW011,Central Quarry,live,Research,15,"Moths for wing analysis"
CAT0038,TRP0024,CR001,1,1855-03-10,CRW011,Central Quarry,live,Research,48,"Burrower for comparison study"
CAT0039,TRP0026,CR003,1,1855-04-12,CRW002,Western Marsh,live,Miasto Market,26,"Single wren in tunnel trap"
CAT0040,TRP0029,CR011,8,1855-02-12,CRW010,Northern Edge,live,North Station,5,"Bats for local pest control"
CAT0041,TRP0030,CR020,1,1855-02-25,CRW009,Variable,live,Senator Huilof,85,"Pocket bird; part of yeller set"
CAT0042,TRP0030,CR021,1,1855-02-25,CRW009,Variable,live,Senator Huilof,85,"Whistle bird; part of yeller set"
CAT0043,TRP0031,CR010,40,1855-03-18,CRW008,Grimslew Shore,live,None,0,"Crawlers on hook; released"
CAT0044,TRP0032,CR012,1,1855-03-08,CRW003,Miasto Sector,live,Capital Archives,130,"Rock-finned eel; new shaft"
CAT0045,TRP0034,CR003,1,1855-03-17,CRW003,Miasto Sector,live,Capital Display,29,"Wren in sphere trap"
CAT0046,TRP0035,CR008,1,1855-03-20,CRW006,Central Quarry,dead,Capital Archives,175,"Coil serpent at depth"
CAT0047,TRP0001,CR024,3,1855-03-15,CRW001,Western Marsh,live,Capital Cosmetics,9,"Moths attracted to carrion"
CAT0048,TRP0003,CR011,2,1855-03-14,CRW001,Western Marsh,live,Miasto Market,7,"Bats in sphere"
CAT0049,TRP0004,CR023,12,1855-03-18,CRW001,Western Marsh,live,None,0,"Crawlers; released"
CAT0050,TRP0006,CR024,4,1855-04-05,CRW002,Western Marsh,live,Miasto Market,10,"Moths near tunnel"
