trap_id,trap_type,maker,sector,deployment_date,retrieval_date,condition,bait_type,target_category,depth_placed_m,crew_id,successful,notes
TRP0001,tunnel,The Boss,Western Marsh,1855-03-12,1855-03-15,worn,carrion,burrowing,0,CRW001,True,"Long and narrow; simulates tunnel"
TRP0002,box,The Boss,Western Marsh,1855-03-12,1855-03-15,damaged,live_worm,reptile,0,CRW001,False,"Three feet to a side; bent door"
TRP0003,sphere,The Boss,Western Marsh,1855-03-12,1855-03-14,good,seed_paste,bird,0,CRW001,True,"Hangs from tree limbs"
TRP0004,tunnel,The Boss,Western Marsh,1855-03-14,1855-03-18,worn,carrion,burrowing,0,CRW001,True,"Wire supports chewed"
TRP0005,box,The Boss,Cave Interior,1855-03-18,1855-03-18,destroyed,live_worm,unknown,15,CRW001,False,"Lost in creature attack"
TRP0006,tunnel,Ox,Western Marsh,1855-04-02,1855-04-05,good,carrion,burrowing,0,CRW002,True,"Ox's fingers quick at repairs"
TRP0007,sphere,Ox,Western Marsh,1855-04-02,1855-04-06,worn,seed_paste,bird,0,CRW002,True,"Caught two granite wrens"
TRP0008,pit,Guild Standard,Miasto Sector,1855-01-15,1855-01-22,good,offal,predator,2,CRW003,True,"Guild design; deep pit with cover"
TRP0009,net,Guild Standard,Miasto Sector,1855-01-15,1855-01-20,worn,none,flying,0,CRW003,True,"Strung between quarry walls"
TRP0010,box,Guild Standard,Miasto Sector,1855-02-01,1855-02-08,good,live_worm,reptile,0,CRW003,True,"Reinforced corners"
TRP0011,cage,Quarry Rim Design,Eastern Ridge,1855-02-10,1855-02-17,good,seed_paste,bird,0,CRW005,True,"Live capture specialty"
TRP0012,cage,Quarry Rim Design,Eastern Ridge,1855-02-10,1855-02-15,good,seed_paste,bird,0,CRW005,True,"Senator's banquet supply"
TRP0013,snare,Deep Tunnel Model,Central Quarry,1855-01-08,1855-01-25,damaged,blood_scent,predator,35,CRW006,True,"Wire snare; high tension"
TRP0014,pit,Deep Tunnel Model,Central Quarry,1855-01-08,1855-02-01,good,offal,predator,40,CRW006,False,"Collapsed during retrieval"
TRP0015,hook,Grimslew Special,Grimslew Shore,1855-03-01,1855-03-08,worn,fish_parts,aquatic,0,CRW008,True,"Heat-resistant; for wharvers"
TRP0016,net,Grimslew Special,Grimslew Shore,1855-03-01,1855-03-05,destroyed,none,aquatic,0,CRW008,False,"Burned by wharver belly"
TRP0017,tunnel,The Boss,Western Marsh,1855-03-13,1855-03-16,worn,carrion,burrowing,0,CRW001,False,"Harch placed between rocks"
TRP0018,box,The Boss,Western Marsh,1855-03-16,1855-03-19,good,mineral_dust,amalgam,0,CRW001,True,"Caught stone spine juvenile"
TRP0019,sphere,Ox,Western Marsh,1855-04-03,1855-04-07,good,seed_paste,bird,0,CRW002,False,"Empty; birds avoided"
TRP0020,cage,Quarry Rim Design,Eastern Ridge,1855-02-12,1855-02-18,good,seed_paste,bird,0,CRW005,True,"Yeller frog captured instead"
TRP0021,tunnel,Guild Standard,Miasto Sector,1855-02-15,1855-02-22,worn,carrion,burrowing,5,CRW003,True,"Underground placement"
TRP0022,snare,Deep Tunnel Model,Central Quarry,1855-02-01,1855-02-18,good,blood_scent,predator,50,CRW006,True,"Caught deep borer"
TRP0023,box,Scientific Model,Central Quarry,1855-03-05,1855-03-12,good,varied,amalgam,20,CRW011,True,"Dr. Vetch's design"
TRP0024,cage,Scientific Model,Central Quarry,1855-03-05,1855-03-10,good,live_worm,reptile,15,CRW011,True,"Specimen preservation"
TRP0025,sphere,The Boss,Cave Interior,1855-03-17,1855-03-18,destroyed,seed_paste,bird,10,CRW001,False,"Lost in expedition disaster"
TRP0026,tunnel,Ox,Western Marsh,1855-04-08,1855-04-12,good,carrion,burrowing,0,CRW002,True,"Double-length design"
TRP0027,box,Ox,Western Marsh,1855-04-08,1855-04-11,worn,live_worm,reptile,0,CRW002,False,"Door mechanism failed"
TRP0028,pit,North Station,Northern Edge,1855-01-20,1855-01-28,good,offal,predator,3,CRW010,False,"Monitoring trap; no target"
TRP0029,net,North Station,Northern Edge,1855-02-05,1855-02-12,good,none,flying,0,CRW010,True,"Boundary monitoring"
TRP0030,cage,Senator's Commission,Variable,1855-02-20,1855-02-25,excellent,premium_seed,bird,0,CRW009,True,"Yeller bird capture; five specimens"
TRP0031,hook,Grimslew Special,Grimslew Shore,1855-03-10,1855-03-18,good,fish_parts,aquatic,0,CRW008,True,"Second wharver attempt"
TRP0032,tunnel,Guild Standard,Miasto Sector,1855-03-01,1855-03-08,good,carrion,burrowing,8,CRW003,True,"New shaft exploration"
TRP0033,box,The Boss,Western Marsh,1855-03-15,1855-03-18,worn,mineral_dust,amalgam,0,CRW001,False,"Pre-expedition deployment"
TRP0034,sphere,Guild Standard,Miasto Sector,1855-03-10,1855-03-17,good,seed_paste,bird,0,CRW003,True,"Quarry moth capture"
TRP0035,snare,Deep Tunnel Model,Central Quarry,1855-03-01,1855-03-20,damaged,blood_scent,predator,55,CRW006,True,"Record depth deployment"
